,time,TraceabilityCode,SlideAdjustment,time.value
0,2023-01-11 16:06:55.372,1010123011150548,1450.0,2023-01-11 16:20:23.634
1,2023-01-30 17:15:56.585,1010123030161118,1097.0,2023-01-30 17:26:45.362
2,2023-02-04 00:30:04.773,1010223034232337,0.0,2023-02-04 00:32:36.361
3,2023-02-04 00:30:04.773,1010223034232337,1197.5,2023-02-04 00:32:39.930
4,2023-02-04 00:30:04.773,1010223034232337,0.0,2023-02-04 00:32:47.450
5,2023-02-04 00:30:04.773,1010223034232337,1197.5,2023-02-04 00:33:17.581
6,2023-02-14 17:26:44.592,1010223045161753,1093.0,2023-02-14 17:27:20.819
7,2023-02-14 17:29:21.059,1010223045161800,1096.5,2023-02-14 17:31:45.875
8,2023-02-15 23:52:02.977,1010123046223722,1045.0,2023-02-15 23:52:06.328
9,2023-02-20 14:43:28.188,1010123051134225,1097.0,2023-02-20 16:16:02.256
10,2023-02-20 14:43:28.188,1010123051134225,1197.0,2023-02-20 19:18:07.924
11,2023-02-20 14:43:28.188,1010123051134225,1450.0,2023-02-21 11:17:37.963
12,2023-02-20 14:43:28.188,1010123051134225,1097.0,2023-02-21 15:07:10.006
13,2023-02-20 14:43:28.188,1010123051134225,1097.8,2023-02-21 17:33:13.023
14,2023-02-20 14:43:28.188,1010123051134225,1096.5,2023-02-21 20:34:08.430
15,2023-02-20 14:43:28.188,1010123051134225,1093.0,2023-02-22 06:47:58.561
16,2023-02-20 14:43:28.188,1010123051134225,1197.5,2023-02-22 15:25:00.526
17,2023-02-20 14:43:28.188,1010123051134225,1175.5,2023-02-22 19:52:04.565
18,2023-02-20 14:43:28.188,1010123051134225,1257.0,2023-02-23 03:12:39.206
19,2023-02-20 14:43:28.188,1010123051134225,1257.0,2023-02-23 08:40:07.451
20,2023-02-20 14:43:28.188,1010123051134225,1257.0,2023-02-23 08:57:24.153
