time;TraceabilityCode;SlideAdjustment;time.value
2023-01-11 16:06:55.372 CET;1010123011150548;1450;2023-01-11 16:20:23.634 CET
2023-01-30 17:15:56.585 CET;1010123030161118;1097;2023-01-30 17:26:45.362 CET
2023-02-04 00:30:04.773 CET;1010223034232337;0;2023-02-04 00:32:36.361 CET
2023-02-04 00:30:04.773 CET;1010223034232337;1197,5;2023-02-04 00:32:39.930 CET
2023-02-04 00:30:04.773 CET;1010223034232337;0;2023-02-04 00:32:47.450 CET
2023-02-04 00:30:04.773 CET;1010223034232337;1197,5;2023-02-04 00:33:17.581 CET
2023-02-14 17:26:44.592 CET;1010223045161753;1093;2023-02-14 17:27:20.819 CET
2023-02-14 17:29:21.059 CET;1010223045161800;1096,5;2023-02-14 17:31:45.875 CET
2023-02-15 23:52:02.977 CET;1010123046223722;1045;2023-02-15 23:52:06.328 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1097;2023-02-20 16:16:02.256 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1197;2023-02-20 19:18:07.924 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1450;2023-02-21 11:17:37.963 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1097;2023-02-21 15:07:10.006 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1097,8;2023-02-21 17:33:13.023 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1096,5;2023-02-21 20:34:08.430 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1093;2023-02-22 06:47:58.561 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1197,5;2023-02-22 15:25:00.526 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1175,5;2023-02-22 19:52:04.565 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1257;2023-02-23 03:12:39.206 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1257;2023-02-23 08:40:07.451 CET
2023-02-20 14:43:28.188 CET;1010123051134225;1257;2023-02-23 08:57:24.153 CET
