time;PressMode
2023-01-02 04:13:21.160 CET;4
2023-01-02 06:44:25.342 CET;16
2023-01-02 07:11:34.854 CET;4
2023-01-02 07:43:27.490 CET;16
2023-01-02 08:35:25.926 CET;4
2023-01-02 08:35:40.986 CET;16
2023-01-02 08:42:22.589 CET;4
2023-01-02 08:42:25.609 CET;16
2023-01-02 09:46:12.872 CET;4
2023-01-02 09:46:18.901 CET;16
2023-01-02 10:54:06.140 CET;4
2023-01-02 10:54:11.160 CET;0
2023-01-02 10:54:12.170 CET;16
2023-01-02 11:29:21.592 CET;4
2023-01-02 11:30:15.802 CET;8
2023-01-02 11:36:15.236 CET;4
2023-01-02 11:39:58.131 CET;16
2023-01-02 12:31:50.548 CET;4
2023-01-02 12:31:55.569 CET;16
2023-01-02 15:45:22.930 CET;4
2023-01-02 15:47:18.390 CET;16
2023-01-02 16:26:33.788 CET;4
2023-01-02 16:27:20.976 CET;16
2023-01-02 17:25:12.841 CET;4
2023-01-02 17:25:46.990 CET;16
2023-01-02 17:45:54.809 CET;4
2023-01-02 17:46:20.908 CET;16
2023-01-02 20:17:51.203 CET;4
2023-01-02 20:18:16.302 CET;8
2023-01-02 20:24:15.736 CET;4
2023-01-02 20:24:47.867 CET;16
2023-01-02 21:09:59.698 CET;4
2023-01-02 21:21:56.556 CET;16
2023-01-02 23:11:49.887 CET;8
2023-01-02 23:17:19.203 CET;4
2023-01-02 23:18:29.483 CET;16
2023-01-02 23:36:26.788 CET;4
2023-01-02 23:43:30.483 CET;16
2023-01-03 00:07:46.298 CET;0
2023-01-03 00:07:49.308 CET;1
2023-01-03 00:11:20.144 CET;16
2023-01-03 00:19:48.173 CET;4
2023-01-03 00:20:40.384 CET;16
2023-01-03 01:47:34.203 CET;4
2023-01-03 01:47:56.293 CET;16
2023-01-03 02:43:12.539 CET;4
2023-01-03 02:43:45.668 CET;16
2023-01-03 02:49:14.983 CET;4
2023-01-03 02:49:19.003 CET;16
2023-01-03 03:23:55.288 CET;4
2023-01-03 03:24:10.348 CET;16
2023-01-03 03:25:07.575 CET;4
2023-01-03 03:25:11.595 CET;16
2023-01-03 03:49:58.533 CET;4
2023-01-03 03:50:13.592 CET;16
2023-01-03 05:02:55.002 CET;4
2023-01-03 05:02:59.022 CET;16
2023-01-03 05:38:53.624 CET;4
2023-01-03 05:39:22.743 CET;16
2023-01-03 05:43:50.813 CET;4
2023-01-03 05:44:06.875 CET;0
2023-01-03 05:44:07.885 CET;16
2023-01-03 05:48:54.035 CET;4
2023-01-03 05:49:08.085 CET;16
2023-01-03 06:31:33.250 CET;4
2023-01-03 06:33:05.619 CET;8
2023-01-03 06:44:55.447 CET;4
2023-01-03 06:45:19.546 CET;16
2023-01-03 06:56:16.177 CET;4
2023-01-03 06:56:22.197 CET;16
2023-01-03 07:06:27.617 CET;0
2023-01-03 07:06:28.628 CET;4
2023-01-03 07:10:53.683 CET;16
2023-01-03 07:11:25.813 CET;4
2023-01-03 07:11:51.913 CET;16
2023-01-03 07:17:48.335 CET;4
2023-01-03 07:18:35.526 CET;16
2023-01-03 07:23:03.591 CET;4
2023-01-03 07:23:52.789 CET;16
2023-01-03 11:20:44.538 CET;4
2023-01-03 11:20:45.538 CET;16
2023-01-03 19:24:55.552 CET;4
2023-01-03 19:25:23.664 CET;8
2023-01-03 19:37:35.582 CET;4
2023-01-03 19:38:11.733 CET;16
2023-01-03 19:59:31.839 CET;4
2023-01-03 20:19:33.640 CET;16
2023-01-03 21:19:26.979 CET;4
2023-01-03 21:19:57.108 CET;8
2023-01-03 21:25:34.450 CET;4
2023-01-03 21:26:15.611 CET;16
2023-01-04 00:41:52.483 CET;4
2023-01-04 00:42:36.663 CET;8
2023-01-04 01:12:22.799 CET;4
2023-01-04 01:14:34.326 CET;16
2023-01-04 01:34:03.997 CET;4
2023-01-04 01:34:24.078 CET;16
2023-01-04 05:04:54.515 CET;0
2023-01-04 05:04:55.516 CET;8
2023-01-04 05:08:55.471 CET;4
2023-01-04 05:18:14.703 CET;16
2023-01-04 05:24:54.305 CET;4
2023-01-04 05:24:58.315 CET;16
2023-01-04 09:20:13.681 CET;4
2023-01-04 09:25:06.857 CET;8
2023-01-04 09:36:27.575 CET;4
2023-01-04 09:46:34.994 CET;16
2023-01-04 09:53:11.576 CET;4
2023-01-04 10:11:06.868 CET;16
2023-01-04 14:09:06.894 CET;4
2023-01-04 14:09:30.983 CET;8
2023-01-04 14:40:06.312 CET;4
2023-01-04 14:42:42.938 CET;16
2023-01-04 15:05:18.368 CET;4
2023-01-04 15:05:26.398 CET;16
2023-01-04 16:05:45.845 CET;4
2023-01-04 16:05:53.875 CET;16
2023-01-04 16:59:39.749 CET;4
2023-01-04 17:19:31.523 CET;16
2023-01-05 01:50:25.937 CET;8
2023-01-05 02:00:33.368 CET;4
2023-01-05 02:03:26.053 CET;16
2023-01-05 02:22:44.676 CET;0
2023-01-05 02:22:45.687 CET;4
2023-01-05 02:27:56.933 CET;16
2023-01-05 03:39:09.983 CET;0
2023-01-05 03:39:10.993 CET;4
2023-01-05 03:57:21.345 CET;16
2023-01-05 05:39:30.819 CET;8
2023-01-05 05:48:36.007 CET;4
2023-01-05 05:58:15.318 CET;16
2023-01-05 05:59:34.637 CET;4
2023-01-05 06:14:16.161 CET;16
2023-01-05 07:51:48.529 CET;4
2023-01-05 08:19:23.137 CET;16
2023-01-05 08:37:36.497 CET;4
2023-01-05 08:53:45.361 CET;16
2023-01-05 10:53:49.131 CET;4
2023-01-05 11:03:59.571 CET;8
2023-01-05 11:13:47.920 CET;4
2023-01-05 11:28:21.414 CET;16
2023-01-05 11:38:47.915 CET;4
2023-01-05 11:46:55.857 CET;16
2023-01-05 12:14:11.388 CET;4
2023-01-05 12:14:56.568 CET;16
2023-01-05 12:50:19.052 CET;4
2023-01-05 12:50:26.082 CET;16
2023-01-05 17:18:15.257 CET;4
2023-01-05 17:18:21.278 CET;16
2023-01-05 17:23:39.552 CET;4
2023-01-05 17:24:06.661 CET;8
2023-01-05 17:36:40.670 CET;32
2023-01-05 17:36:41.670 CET;4
2023-01-05 17:38:55.207 CET;16
2023-01-05 18:15:11.900 CET;4
2023-01-05 18:15:17.921 CET;16
2023-01-05 18:15:37.000 CET;4
2023-01-05 18:21:35.424 CET;16
2023-01-05 18:40:32.964 CET;4
2023-01-05 18:40:49.035 CET;16
2023-01-05 19:20:12.466 CET;4
2023-01-05 19:20:15.474 CET;16
2023-01-05 20:16:06.868 CET;4
2023-01-05 20:18:00.316 CET;8
2023-01-05 20:25:00.997 CET;0
2023-01-05 20:25:01.997 CET;4
2023-01-05 20:27:40.635 CET;16
2023-01-05 20:39:50.555 CET;4
2023-01-05 20:39:56.575 CET;16
2023-01-06 00:40:50.306 CET;4
2023-01-06 00:43:05.845 CET;8
2023-01-06 00:58:23.512 CET;32
2023-01-06 00:58:24.512 CET;4
2023-01-06 01:10:33.430 CET;16
2023-01-06 01:35:59.513 CET;0
2023-01-06 01:36:00.513 CET;4
2023-01-06 01:36:07.543 CET;16
2023-01-06 01:36:53.733 CET;4
2023-01-06 01:42:50.157 CET;16
