time;PressMode
2023-01-02 04:15:06.788 CET;4
2023-01-02 06:05:10.194 CET;16
2023-01-02 06:05:11.194 CET;8
2023-01-02 06:05:29.263 CET;16
2023-01-02 06:05:30.275 CET;4
2023-01-02 06:18:27.380 CET;16
2023-01-02 11:30:16.163 CET;0
2023-01-02 11:30:17.171 CET;8
2023-01-02 11:38:44.193 CET;4
2023-01-02 12:09:36.601 CET;16
2023-01-02 20:17:53.753 CET;8
2023-01-02 20:23:55.198 CET;16
2023-01-02 23:12:34.655 CET;8
2023-01-02 23:18:24.062 CET;0
2023-01-02 23:18:25.062 CET;16
2023-01-03 03:13:48.536 CET;4
2023-01-03 03:14:13.637 CET;16
2023-01-03 06:33:57.558 CET;8
2023-01-03 06:43:22.819 CET;32
2023-01-03 06:43:23.819 CET;16
2023-01-03 19:24:27.423 CET;8
2023-01-03 19:38:11.723 CET;16
2023-01-03 20:04:53.124 CET;4
2023-01-03 20:09:03.121 CET;0
2023-01-03 20:09:04.131 CET;16
2023-01-03 20:10:27.460 CET;4
2023-01-03 20:10:33.490 CET;16
2023-01-03 21:19:23.999 CET;8
2023-01-03 21:30:53.756 CET;16
2023-01-04 00:44:19.171 CET;0
2023-01-04 00:44:20.171 CET;8
2023-01-04 00:56:01.980 CET;16
2023-01-04 05:06:46.134 CET;8
2023-01-04 05:16:41.513 CET;16
2023-01-04 09:32:11.819 CET;8
2023-01-04 09:38:55.433 CET;16
2023-01-04 14:09:08.266 CET;8
2023-01-04 14:22:36.490 CET;32
2023-01-04 14:22:37.490 CET;16
2023-01-05 01:56:13.923 CET;8
2023-01-05 02:03:53.763 CET;16
2023-01-05 05:40:57.838 CET;32
2023-01-05 05:40:58.848 CET;8
2023-01-05 05:48:39.687 CET;32
2023-01-05 05:48:40.697 CET;16
2023-01-05 07:57:41.642 CET;8
2023-01-05 08:03:03.940 CET;4
2023-01-05 08:05:49.598 CET;16
2023-01-05 10:58:50.115 CET;8
2023-01-05 11:05:45.769 CET;4
2023-01-05 11:28:09.145 CET;16
2023-01-05 12:02:16.331 CET;4
2023-01-05 12:02:17.331 CET;16
2023-01-05 17:23:47.480 CET;8
2023-01-05 17:39:09.167 CET;0
2023-01-05 17:39:10.167 CET;16
2023-01-05 20:16:38.957 CET;32
2023-01-05 20:16:40.967 CET;8
2023-01-05 20:32:23.732 CET;16
2023-01-05 23:31:20.673 CET;4
2023-01-05 23:32:39.990 CET;16
2023-01-05 23:43:46.661 CET;4
2023-01-05 23:43:52.680 CET;16
2023-01-05 23:44:13.759 CET;4
2023-01-05 23:44:19.789 CET;16
2023-01-06 00:34:37.851 CET;8
2023-01-06 00:43:29.986 CET;16
2023-01-06 03:46:57.996 CET;8
2023-01-06 04:22:36.546 CET;4
2023-01-06 04:23:17.714 CET;16
2023-01-09 08:52:31.653 CET;8
2023-01-09 09:02:03.944 CET;16
2023-01-09 14:09:30.703 CET;0
2023-01-09 14:09:31.703 CET;8
2023-01-09 14:20:49.415 CET;16
2023-01-09 18:42:45.267 CET;8
2023-01-09 18:49:25.861 CET;4
2023-01-09 18:51:00.242 CET;16
2023-01-09 22:47:53.072 CET;8
2023-01-09 22:56:10.065 CET;16
2023-01-10 01:50:05.792 CET;8
2023-01-10 01:57:47.634 CET;32
2023-01-10 01:57:48.644 CET;4
2023-01-10 01:58:48.882 CET;16
2023-01-10 10:37:13.292 CET;0
2023-01-10 10:37:14.292 CET;8
2023-01-10 10:48:25.980 CET;16
2023-01-11 01:46:26.430 CET;8
2023-01-11 01:54:55.473 CET;4
2023-01-11 02:03:14.466 CET;16
2023-01-11 09:25:47.661 CET;8
2023-01-11 09:38:02.588 CET;16
2023-01-11 10:30:18.130 CET;8
2023-01-11 10:42:29.059 CET;32
2023-01-11 10:42:30.059 CET;16
2023-01-11 16:15:57.075 CET;8
2023-01-11 16:27:53.944 CET;16
2023-01-11 21:07:43.089 CET;8
2023-01-11 21:13:31.484 CET;0
2023-01-11 21:13:32.484 CET;16
2023-01-12 00:47:25.796 CET;0
2023-01-12 00:47:26.806 CET;8
2023-01-12 00:51:27.763 CET;16
2023-01-12 04:43:49.539 CET;8
2023-01-12 04:50:31.148 CET;4
2023-01-12 04:51:58.496 CET;0
2023-01-12 04:51:59.496 CET;16
2023-01-12 11:33:45.888 CET;8
2023-01-12 11:44:50.549 CET;16
2023-01-12 15:53:00.101 CET;8
2023-01-12 16:06:58.450 CET;16
2023-01-12 18:32:33.384 CET;32
2023-01-12 18:32:34.394 CET;8
2023-01-12 18:43:37.046 CET;16
2023-01-12 18:43:40.056 CET;4
2023-01-12 18:44:23.226 CET;16
2023-01-12 21:00:36.914 CET;8
2023-01-13 00:04:43.088 CET;4
2023-01-13 00:06:15.457 CET;16
2023-01-13 06:16:29.302 CET;8
2023-01-13 07:28:10.506 CET;16
2023-01-13 14:54:02.497 CET;8
2023-01-13 15:01:00.163 CET;16
2023-01-13 17:07:36.555 CET;0
2023-01-13 17:07:37.555 CET;8
2023-01-13 19:09:02.687 CET;0
2023-01-13 19:09:03.687 CET;4
2023-01-13 19:21:25.658 CET;16
2023-01-13 23:33:41.187 CET;0
2023-01-13 23:33:42.197 CET;8
2023-01-14 00:17:22.674 CET;16
2023-01-16 10:56:13.976 CET;32
2023-01-16 10:56:14.986 CET;8
2023-01-16 11:05:13.141 CET;16
2023-01-16 11:34:56.273 CET;4
2023-01-16 11:34:59.283 CET;0
2023-01-16 11:35:00.283 CET;16
2023-01-16 22:19:05.822 CET;8
2023-01-16 22:30:20.509 CET;32
2023-01-16 22:30:21.519 CET;16
2023-01-16 23:30:09.865 CET;4
2023-01-16 23:31:18.144 CET;16
2023-01-16 23:31:22.164 CET;4
2023-01-16 23:39:32.118 CET;16
2023-01-17 01:19:59.223 CET;4
2023-01-17 01:20:41.394 CET;16
2023-01-17 02:28:32.671 CET;4
2023-01-17 02:30:15.079 CET;16
2023-01-17 03:10:55.846 CET;8
2023-01-17 10:53:38.867 CET;16
2023-01-17 10:53:39.878 CET;4
2023-01-17 14:08:00.513 CET;16
2023-01-17 19:16:06.437 CET;8
2023-01-17 19:26:26.914 CET;4
2023-01-17 19:29:48.720 CET;16
2023-01-18 11:45:11.773 CET;8
2023-01-18 12:39:06.713 CET;16
2023-01-18 18:23:13.273 CET;8
2023-01-18 18:33:57.855 CET;4
2023-01-18 18:35:49.302 CET;16
2023-01-18 19:58:59.253 CET;8
2023-01-18 20:10:41.065 CET;0
2023-01-18 20:10:42.065 CET;4
2023-01-18 20:12:05.404 CET;16
2023-01-19 02:26:04.135 CET;0
2023-01-19 02:26:05.135 CET;8
