,time,TraceabilityCode,SlideAdjustment,time.value
0,2023-02-04 00:30:12.624,1010223034232404,1196.5,2023-02-04 00:33:20.730
1,2023-02-20 14:43:25.088,1010123051134234,1099.4,2023-02-20 16:14:51.477
2,2023-02-20 14:43:25.088,1010123051134234,1200.0,2023-02-20 19:18:13.441
3,2023-02-20 14:43:25.088,1010123051134234,1450.0,2023-02-21 11:18:02.573
4,2023-02-20 14:43:25.088,1010123051134234,1099.4,2023-02-21 15:07:31.615
5,2023-02-20 14:43:25.088,1010123051134234,1100.0,2023-02-21 17:33:47.683
6,2023-02-20 14:43:25.088,1010123051134234,1099.0,2023-02-21 20:33:19.762
7,2023-02-20 14:43:25.088,1010123051134234,1178.0,2023-02-22 01:27:29.255
8,2023-02-20 14:43:25.088,1010123051134234,1099.0,2023-02-22 03:28:53.364
9,2023-02-20 14:43:25.088,1010123051134234,1195.5,2023-02-22 15:25:39.226
10,2023-02-20 14:43:25.088,1010123051134234,1177.1,2023-02-22 19:52:07.125
11,2023-02-20 14:43:25.088,1010123051134234,1258.0,2023-02-23 03:17:10.838
12,2023-02-20 14:43:25.088,1010123051134234,1258.0,2023-02-23 08:40:07.451
13,2023-02-20 14:43:25.088,1010123051134234,1258.0,2023-02-23 08:57:24.153
14,2023-02-28 18:11:10.996,1010123059170822,1375.2,2023-02-28 18:14:53.410
